Namespace(batch_size=8, dataset='modelnet40', dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='ognet_1024_b8_lr3', k=20, lr=0.0003, model='ognet', model_path='', momentum=0.9, no_cuda=False, num_points=1024, seed=1, test_batch_size=16, use_sgd=True)
Using GPU : 0 from 1 devices
Train 42, loss: 1.681724, train acc: 0.865549, train avg acc: 0.801351
Test 42, loss: 1.622451, test acc: 0.888574, test avg acc: 0.831407
Train 43, loss: 1.673618, train acc: 0.869309, train avg acc: 0.809177
Test 43, loss: 1.615788, test acc: 0.874392, test avg acc: 0.824564
Train 44, loss: 1.664499, train acc: 0.875711, train avg acc: 0.817834
Test 44, loss: 1.611658, test acc: 0.882901, test avg acc: 0.828221
Train 45, loss: 1.666649, train acc: 0.874492, train avg acc: 0.820260
Test 45, loss: 1.613912, test acc: 0.888979, test avg acc: 0.829174
Train 46, loss: 1.660619, train acc: 0.877236, train avg acc: 0.820816
Test 46, loss: 1.613427, test acc: 0.893031, test avg acc: 0.850640
Train 47, loss: 1.659265, train acc: 0.875407, train avg acc: 0.815881
Test 47, loss: 1.591456, test acc: 0.889789, test avg acc: 0.848384
Train 48, loss: 1.650198, train acc: 0.883537, train avg acc: 0.828216
Test 48, loss: 1.604183, test acc: 0.892220, test avg acc: 0.857674
Train 49, loss: 1.656275, train acc: 0.879268, train avg acc: 0.819080
Test 49, loss: 1.635695, test acc: 0.879254, test avg acc: 0.840488
Train 50, loss: 1.648111, train acc: 0.884248, train avg acc: 0.832344
Test 50, loss: 1.607056, test acc: 0.901135, test avg acc: 0.831895
Train 51, loss: 1.638301, train acc: 0.883841, train avg acc: 0.829330
Test 51, loss: 1.602136, test acc: 0.897083, test avg acc: 0.847640
Train 52, loss: 1.647134, train acc: 0.880793, train avg acc: 0.824255
Test 52, loss: 1.584132, test acc: 0.901540, test avg acc: 0.852669
Train 53, loss: 1.643902, train acc: 0.884248, train avg acc: 0.829951
