Namespace(batch_size=32, dataset='modelnet40', dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='dgcnn_1024', k=20, lr=0.001, model='dgcnn', model_path='', momentum=0.9, no_cuda=False, num_points=1024, seed=1, test_batch_size=16, use_sgd=True)
Using GPU : 0 from 1 devices
Namespace(batch_size=32, dataset='modelnet40', dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='dgcnn_1024', k=20, lr=0.001, model='dgcnn', model_path='', momentum=0.9, no_cuda=False, num_points=1024, seed=1, test_batch_size=16, use_sgd=True)
Using GPU : 0 from 1 devices
Train 40, loss: 1.580509, train acc: 0.902993, train avg acc: 0.849598
Test 40, loss: 1.563812, test acc: 0.891410, test avg acc: 0.838855
Train 41, loss: 1.575308, train acc: 0.901669, train avg acc: 0.852209
Test 41, loss: 1.553529, test acc: 0.888169, test avg acc: 0.848308
Train 42, loss: 1.570344, train acc: 0.904011, train avg acc: 0.852040
Test 42, loss: 1.568522, test acc: 0.889789, test avg acc: 0.850110
Train 43, loss: 1.566745, train acc: 0.904621, train avg acc: 0.855432
Test 43, loss: 1.559368, test acc: 0.897083, test avg acc: 0.846087
Train 44, loss: 1.569272, train acc: 0.908184, train avg acc: 0.862445
Test 44, loss: 1.580916, test acc: 0.881280, test avg acc: 0.828105
Train 45, loss: 1.563931, train acc: 0.910525, train avg acc: 0.862502
Test 45, loss: 1.513925, test acc: 0.905997, test avg acc: 0.840971
Train 46, loss: 1.561745, train acc: 0.910729, train avg acc: 0.864137
Test 46, loss: 1.586753, test acc: 0.882091, test avg acc: 0.829087
Train 47, loss: 1.562097, train acc: 0.909609, train avg acc: 0.859654
Test 47, loss: 1.521767, test acc: 0.900324, test avg acc: 0.872000
Train 48, loss: 1.555572, train acc: 0.912154, train avg acc: 0.864298
Test 48, loss: 1.532128, test acc: 0.894652, test avg acc: 0.839169
Train 49, loss: 1.554237, train acc: 0.910831, train avg acc: 0.865168
Test 49, loss: 1.536517, test acc: 0.896272, test avg acc: 0.851837
Train 50, loss: 1.546146, train acc: 0.914088, train avg acc: 0.868113
Test 50, loss: 1.536232, test acc: 0.899109, test avg acc: 0.855291
Train 51, loss: 1.547750, train acc: 0.912866, train avg acc: 0.861959
Test 51, loss: 1.545341, test acc: 0.888169, test avg acc: 0.863215
Train 52, loss: 1.548288, train acc: 0.914495, train avg acc: 0.869791
Test 52, loss: 1.543139, test acc: 0.898703, test avg acc: 0.861610
Train 53, loss: 1.542970, train acc: 0.915004, train avg acc: 0.870131
Test 53, loss: 1.528851, test acc: 0.905186, test avg acc: 0.860581
Train 54, loss: 1.548623, train acc: 0.915106, train avg acc: 0.866620
Test 54, loss: 1.548720, test acc: 0.893436, test avg acc: 0.845233
Train 55, loss: 1.540937, train acc: 0.919178, train avg acc: 0.875293
Test 55, loss: 1.548268, test acc: 0.895867, test avg acc: 0.862767
Train 56, loss: 1.537895, train acc: 0.918261, train avg acc: 0.875127
Test 56, loss: 1.532308, test acc: 0.904376, test avg acc: 0.856384
Train 57, loss: 1.539983, train acc: 0.919686, train avg acc: 0.875646
Test 57, loss: 1.526884, test acc: 0.896677, test avg acc: 0.856860
Train 58, loss: 1.535680, train acc: 0.919076, train avg acc: 0.874656
Test 58, loss: 1.519890, test acc: 0.899919, test avg acc: 0.858936
Train 59, loss: 1.544462, train acc: 0.915309, train avg acc: 0.871085
Test 59, loss: 1.539011, test acc: 0.889789, test avg acc: 0.856291
Train 60, loss: 1.533023, train acc: 0.921010, train avg acc: 0.876922
Test 60, loss: 1.493701, test acc: 0.914100, test avg acc: 0.860878
Train 61, loss: 1.539357, train acc: 0.918669, train avg acc: 0.875560
Test 61, loss: 1.526837, test acc: 0.907618, test avg acc: 0.851802
Train 62, loss: 1.531349, train acc: 0.919686, train avg acc: 0.877430
Test 62, loss: 1.500892, test acc: 0.915316, test avg acc: 0.871471
Train 63, loss: 1.532129, train acc: 0.919483, train avg acc: 0.873578
Test 63, loss: 1.498097, test acc: 0.916532, test avg acc: 0.867779
Train 64, loss: 1.523156, train acc: 0.923656, train avg acc: 0.883295
Test 64, loss: 1.537143, test acc: 0.897083, test avg acc: 0.862390
Train 65, loss: 1.530681, train acc: 0.919381, train avg acc: 0.876807
Test 65, loss: 1.579551, test acc: 0.895462, test avg acc: 0.832762
Train 66, loss: 1.530292, train acc: 0.923453, train avg acc: 0.881645
Test 66, loss: 1.575731, test acc: 0.891815, test avg acc: 0.859547
Train 67, loss: 1.527181, train acc: 0.919585, train avg acc: 0.873597
Test 67, loss: 1.494530, test acc: 0.906402, test avg acc: 0.866419
Train 68, loss: 1.519868, train acc: 0.924674, train avg acc: 0.884694
Test 68, loss: 1.544318, test acc: 0.899919, test avg acc: 0.869942
Train 69, loss: 1.521441, train acc: 0.925387, train avg acc: 0.883738
Test 69, loss: 1.550746, test acc: 0.890600, test avg acc: 0.852035
Train 70, loss: 1.520893, train acc: 0.925081, train avg acc: 0.885251
Test 70, loss: 1.524201, test acc: 0.900729, test avg acc: 0.860506
Train 71, loss: 1.521759, train acc: 0.925183, train avg acc: 0.884068
Test 71, loss: 1.518206, test acc: 0.904781, test avg acc: 0.864651
Train 72, loss: 1.516593, train acc: 0.926507, train avg acc: 0.888130
Test 72, loss: 1.570163, test acc: 0.885332, test avg acc: 0.859105
Train 73, loss: 1.515674, train acc: 0.922333, train avg acc: 0.879848
Test 73, loss: 1.555686, test acc: 0.889789, test avg acc: 0.836227
Train 74, loss: 1.505735, train acc: 0.930273, train avg acc: 0.891981
Test 74, loss: 1.532741, test acc: 0.894246, test avg acc: 0.856837
Train 75, loss: 1.506753, train acc: 0.928848, train avg acc: 0.891793
Test 75, loss: 1.490436, test acc: 0.912885, test avg acc: 0.854797
Train 76, loss: 1.515429, train acc: 0.927117, train avg acc: 0.888171
Test 76, loss: 1.566077, test acc: 0.878039, test avg acc: 0.851820
Train 77, loss: 1.508995, train acc: 0.929357, train avg acc: 0.892061
Test 77, loss: 1.538366, test acc: 0.895462, test avg acc: 0.849512
Train 78, loss: 1.510211, train acc: 0.926914, train avg acc: 0.888452
Test 78, loss: 1.527737, test acc: 0.900729, test avg acc: 0.856442
Train 79, loss: 1.503818, train acc: 0.932003, train avg acc: 0.898303
Test 79, loss: 1.590553, test acc: 0.904376, test avg acc: 0.863343
Train 80, loss: 1.499255, train acc: 0.931393, train avg acc: 0.897925
Test 80, loss: 1.496853, test acc: 0.907212, test avg acc: 0.872424
Train 81, loss: 1.503945, train acc: 0.930273, train avg acc: 0.891551
Test 81, loss: 1.570595, test acc: 0.887358, test avg acc: 0.848593
Train 82, loss: 1.507203, train acc: 0.930375, train avg acc: 0.894224
Test 82, loss: 1.516098, test acc: 0.902350, test avg acc: 0.864453
Train 83, loss: 1.497182, train acc: 0.934650, train avg acc: 0.898316
Test 83, loss: 1.530542, test acc: 0.897893, test avg acc: 0.869035
Train 84, loss: 1.503309, train acc: 0.930578, train avg acc: 0.893214
Test 84, loss: 1.503727, test acc: 0.909238, test avg acc: 0.861744
Train 85, loss: 1.499866, train acc: 0.932716, train avg acc: 0.898657
Test 85, loss: 1.499083, test acc: 0.918152, test avg acc: 0.887331
