Namespace(batch_size=32, dataset='modelnet40', dropout=0.0, emb_dims=1024, epochs=250, eval=False, exp_name='ognet_1024_d0', k=20, lr=0.001, model='ognet', model_path='', momentum=0.9, no_cuda=False, num_points=1024, seed=1, test_batch_size=16, use_sgd=True)
Using GPU : 0 from 3 devices
Namespace(batch_size=32, dataset='modelnet40', dropout=0.0, emb_dims=1024, epochs=250, eval=False, exp_name='ognet_1024_d0', k=20, lr=0.001, model='ognet', model_path='', momentum=0.9, no_cuda=False, num_points=1024, seed=1, test_batch_size=16, use_sgd=True)
Using GPU : 0 from 1 devices
Namespace(batch_size=32, dataset='modelnet40', dropout=0.0, emb_dims=1024, epochs=250, eval=False, exp_name='ognet_1024_d0', k=20, lr=0.001, model='ognet', model_path='', momentum=0.9, no_cuda=False, num_points=1024, seed=1, test_batch_size=16, use_sgd=True)
Using GPU : 0 from 1 devices
Train 38, loss: 1.487638, train acc: 0.918160, train avg acc: 0.876734
Test 38, loss: 1.570509, test acc: 0.881280, test avg acc: 0.827250
Train 39, loss: 1.476959, train acc: 0.924267, train avg acc: 0.887384
Test 39, loss: 1.554449, test acc: 0.897893, test avg acc: 0.866797
Train 40, loss: 1.479453, train acc: 0.919178, train avg acc: 0.878484
Test 40, loss: 1.588551, test acc: 0.887358, test avg acc: 0.835517
Train 41, loss: 1.478458, train acc: 0.921010, train avg acc: 0.881962
Test 41, loss: 1.535767, test acc: 0.900324, test avg acc: 0.865547
Train 42, loss: 1.469792, train acc: 0.924776, train avg acc: 0.888931
Test 42, loss: 1.557459, test acc: 0.888574, test avg acc: 0.850047
Train 43, loss: 1.480226, train acc: 0.921112, train avg acc: 0.880343
Test 43, loss: 1.628184, test acc: 0.855754, test avg acc: 0.836674
Train 44, loss: 1.467907, train acc: 0.926914, train avg acc: 0.889327
Test 44, loss: 1.584889, test acc: 0.876823, test avg acc: 0.834558
Train 45, loss: 1.478280, train acc: 0.920094, train avg acc: 0.879854
Test 45, loss: 1.553278, test acc: 0.887763, test avg acc: 0.841733
Train 46, loss: 1.460463, train acc: 0.926405, train avg acc: 0.887252
Test 46, loss: 1.552805, test acc: 0.892626, test avg acc: 0.854541
Train 47, loss: 1.466351, train acc: 0.926201, train avg acc: 0.889723
Test 47, loss: 1.546846, test acc: 0.898703, test avg acc: 0.857994
Train 48, loss: 1.466844, train acc: 0.927117, train avg acc: 0.890530
Test 48, loss: 1.573167, test acc: 0.881686, test avg acc: 0.839564
Train 49, loss: 1.463057, train acc: 0.927423, train avg acc: 0.888659
Test 49, loss: 1.560599, test acc: 0.882901, test avg acc: 0.860733
Train 50, loss: 1.458590, train acc: 0.929967, train avg acc: 0.894075
Test 50, loss: 1.604436, test acc: 0.874797, test avg acc: 0.821349
Train 51, loss: 1.466887, train acc: 0.926303, train avg acc: 0.889855
Test 51, loss: 1.551835, test acc: 0.886143, test avg acc: 0.838942
Train 52, loss: 1.460532, train acc: 0.930476, train avg acc: 0.891448
Test 52, loss: 1.542703, test acc: 0.895867, test avg acc: 0.845843
Train 53, loss: 1.457343, train acc: 0.929662, train avg acc: 0.894349
Test 53, loss: 1.524971, test acc: 0.906807, test avg acc: 0.871436
Train 54, loss: 1.453381, train acc: 0.930069, train avg acc: 0.895357
Test 54, loss: 1.524052, test acc: 0.901135, test avg acc: 0.867744
Train 55, loss: 1.454429, train acc: 0.932614, train avg acc: 0.899145
Test 55, loss: 1.546282, test acc: 0.897893, test avg acc: 0.859052
Train 56, loss: 1.452855, train acc: 0.935770, train avg acc: 0.904199
Test 56, loss: 1.540575, test acc: 0.901135, test avg acc: 0.847250
Train 57, loss: 1.451251, train acc: 0.934853, train avg acc: 0.900052
Test 57, loss: 1.557361, test acc: 0.887358, test avg acc: 0.839808
Train 58, loss: 1.446719, train acc: 0.936177, train avg acc: 0.904064
Test 58, loss: 1.535563, test acc: 0.897488, test avg acc: 0.852634
Train 59, loss: 1.447023, train acc: 0.932716, train avg acc: 0.899080
Test 59, loss: 1.533841, test acc: 0.895462, test avg acc: 0.848640
Train 60, loss: 1.451754, train acc: 0.932410, train avg acc: 0.897392
Test 60, loss: 1.520869, test acc: 0.899919, test avg acc: 0.872442
Train 61, loss: 1.437062, train acc: 0.937907, train avg acc: 0.905355
Test 61, loss: 1.544750, test acc: 0.893031, test avg acc: 0.844773
Train 62, loss: 1.449272, train acc: 0.932919, train avg acc: 0.897404
Test 62, loss: 1.564684, test acc: 0.893436, test avg acc: 0.849843
Train 63, loss: 1.441305, train acc: 0.938721, train avg acc: 0.905659
Test 63, loss: 1.518575, test acc: 0.902755, test avg acc: 0.854006
Train 64, loss: 1.440671, train acc: 0.935464, train avg acc: 0.902489
Test 64, loss: 1.537117, test acc: 0.893031, test avg acc: 0.849360
Train 65, loss: 1.441253, train acc: 0.935973, train avg acc: 0.902675
Test 65, loss: 1.565188, test acc: 0.898703, test avg acc: 0.864163
Train 66, loss: 1.438178, train acc: 0.936380, train avg acc: 0.902453
Test 66, loss: 1.519717, test acc: 0.897083, test avg acc: 0.854628
Train 67, loss: 1.439345, train acc: 0.936380, train avg acc: 0.903651
Test 67, loss: 1.529043, test acc: 0.903160, test avg acc: 0.866762
Train 68, loss: 1.435198, train acc: 0.941572, train avg acc: 0.914203
Test 68, loss: 1.558744, test acc: 0.891410, test avg acc: 0.837773
Train 69, loss: 1.438237, train acc: 0.937602, train avg acc: 0.903424
Test 69, loss: 1.517783, test acc: 0.909643, test avg acc: 0.870413
Train 70, loss: 1.430849, train acc: 0.943913, train avg acc: 0.913489
Test 70, loss: 1.534709, test acc: 0.905186, test avg acc: 0.866953
Train 71, loss: 1.434122, train acc: 0.940554, train avg acc: 0.910606
Test 71, loss: 1.533578, test acc: 0.900324, test avg acc: 0.855547
Train 72, loss: 1.426602, train acc: 0.943506, train avg acc: 0.914019
Test 72, loss: 1.544846, test acc: 0.903160, test avg acc: 0.865465
Train 73, loss: 1.428963, train acc: 0.941775, train avg acc: 0.912412
Test 73, loss: 1.538411, test acc: 0.896272, test avg acc: 0.842878
Train 74, loss: 1.423486, train acc: 0.945440, train avg acc: 0.917155
Test 74, loss: 1.528483, test acc: 0.890194, test avg acc: 0.858500
Train 75, loss: 1.422763, train acc: 0.945949, train avg acc: 0.920471
Test 75, loss: 1.531645, test acc: 0.903566, test avg acc: 0.866814
Train 76, loss: 1.429643, train acc: 0.940248, train avg acc: 0.910190
Test 76, loss: 1.594628, test acc: 0.862237, test avg acc: 0.831622
Train 77, loss: 1.424981, train acc: 0.942284, train avg acc: 0.913370
Test 77, loss: 1.534965, test acc: 0.904781, test avg acc: 0.859913
Train 78, loss: 1.418414, train acc: 0.947476, train avg acc: 0.923011
Test 78, loss: 1.517417, test acc: 0.907212, test avg acc: 0.863709
Train 79, loss: 1.421867, train acc: 0.945033, train avg acc: 0.918851
Test 79, loss: 1.504927, test acc: 0.907212, test avg acc: 0.874884
Train 80, loss: 1.417971, train acc: 0.945440, train avg acc: 0.919910
Test 80, loss: 1.517096, test acc: 0.905592, test avg acc: 0.876971
Train 81, loss: 1.416451, train acc: 0.947679, train avg acc: 0.921738
Test 81, loss: 1.545107, test acc: 0.895057, test avg acc: 0.853291
Train 82, loss: 1.417156, train acc: 0.949715, train avg acc: 0.923437
Test 82, loss: 1.522286, test acc: 0.902350, test avg acc: 0.873808
Train 83, loss: 1.413745, train acc: 0.946356, train avg acc: 0.920239
Test 83, loss: 1.514593, test acc: 0.906807, test avg acc: 0.866006
Train 84, loss: 1.410822, train acc: 0.947374, train avg acc: 0.921215
Test 84, loss: 1.533403, test acc: 0.899109, test avg acc: 0.859581
Train 85, loss: 1.420110, train acc: 0.945440, train avg acc: 0.917448
Test 85, loss: 1.511474, test acc: 0.904376, test avg acc: 0.859297
Train 86, loss: 1.413888, train acc: 0.948188, train avg acc: 0.923523
Test 86, loss: 1.530158, test acc: 0.900729, test avg acc: 0.860029
Train 87, loss: 1.411521, train acc: 0.948697, train avg acc: 0.926361
Test 87, loss: 1.508628, test acc: 0.899109, test avg acc: 0.871977
Train 88, loss: 1.408104, train acc: 0.949410, train avg acc: 0.921569
Test 88, loss: 1.527344, test acc: 0.902350, test avg acc: 0.875256
Train 89, loss: 1.406496, train acc: 0.952158, train avg acc: 0.927233
Test 89, loss: 1.556904, test acc: 0.896272, test avg acc: 0.865279
Train 90, loss: 1.403057, train acc: 0.950936, train avg acc: 0.925836
Test 90, loss: 1.519434, test acc: 0.902755, test avg acc: 0.859762
Train 91, loss: 1.404774, train acc: 0.951853, train avg acc: 0.928217
Test 91, loss: 1.526405, test acc: 0.901540, test avg acc: 0.867837
Train 92, loss: 1.409887, train acc: 0.949817, train avg acc: 0.925466
Test 92, loss: 1.514959, test acc: 0.906807, test avg acc: 0.867762
Train 93, loss: 1.401590, train acc: 0.952260, train avg acc: 0.929555
Test 93, loss: 1.500022, test acc: 0.911669, test avg acc: 0.878174
Train 94, loss: 1.399411, train acc: 0.952667, train avg acc: 0.931072
Test 94, loss: 1.520605, test acc: 0.897488, test avg acc: 0.869930
Train 95, loss: 1.399660, train acc: 0.953074, train avg acc: 0.928661
Test 95, loss: 1.522651, test acc: 0.904376, test avg acc: 0.875564
Train 96, loss: 1.399655, train acc: 0.952158, train avg acc: 0.926122
Test 96, loss: 1.591181, test acc: 0.874797, test avg acc: 0.826599
Train 97, loss: 1.397701, train acc: 0.952972, train avg acc: 0.927753
Test 97, loss: 1.536502, test acc: 0.896677, test avg acc: 0.854831
Train 98, loss: 1.394931, train acc: 0.953481, train avg acc: 0.929643
Test 98, loss: 1.509799, test acc: 0.910049, test avg acc: 0.884180
