Namespace(batch_size=32, dataset='modelnet40', dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='pointnet_d0.5', k=20, lr=0.001, model='pointnet', model_path='', momentum=0.9, no_cuda=False, num_points=1024, seed=1, test_batch_size=16, use_sgd=True)
Using GPU : 0 from 3 devices
Namespace(batch_size=32, dataset='modelnet40', dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='pointnet_d0.5', k=20, lr=0.001, model='pointnet', model_path='', momentum=0.9, no_cuda=False, num_points=1024, seed=1, test_batch_size=16, use_sgd=True)
Using GPU : 0 from 1 devices
Train 40, loss: 1.914576, train acc: 0.747964, train avg acc: 0.626955
Test 40, loss: 1.804076, test acc: 0.787682, test avg acc: 0.708331
Train 41, loss: 1.906927, train acc: 0.753257, train avg acc: 0.631506
Test 41, loss: 1.773867, test acc: 0.814830, test avg acc: 0.731442
Train 42, loss: 1.905449, train acc: 0.752036, train avg acc: 0.626953
Test 42, loss: 1.805274, test acc: 0.789708, test avg acc: 0.697866
Train 43, loss: 1.908959, train acc: 0.754682, train avg acc: 0.633256
Test 43, loss: 1.732147, test acc: 0.824554, test avg acc: 0.743215
Train 44, loss: 1.904414, train acc: 0.754479, train avg acc: 0.635695
Test 44, loss: 1.823929, test acc: 0.804295, test avg acc: 0.699099
Train 45, loss: 1.900964, train acc: 0.757329, train avg acc: 0.639006
Test 45, loss: 1.769136, test acc: 0.798217, test avg acc: 0.728983
Train 46, loss: 1.898428, train acc: 0.759772, train avg acc: 0.641853
Test 46, loss: 1.747282, test acc: 0.819692, test avg acc: 0.738203
Train 47, loss: 1.901232, train acc: 0.757125, train avg acc: 0.637806
Test 47, loss: 1.865283, test acc: 0.741086, test avg acc: 0.680907
Train 48, loss: 1.906266, train acc: 0.753359, train avg acc: 0.631752
Test 48, loss: 1.797507, test acc: 0.782010, test avg acc: 0.706279
Train 49, loss: 1.892353, train acc: 0.763029, train avg acc: 0.648096
Test 49, loss: 1.922292, test acc: 0.767018, test avg acc: 0.710994
Train 50, loss: 1.891556, train acc: 0.756820, train avg acc: 0.639021
Test 50, loss: 1.760223, test acc: 0.799433, test avg acc: 0.712326
Train 51, loss: 1.898416, train acc: 0.759263, train avg acc: 0.643353
Test 51, loss: 1.765054, test acc: 0.806321, test avg acc: 0.748756
Train 52, loss: 1.903519, train acc: 0.754479, train avg acc: 0.631297
Test 52, loss: 1.900686, test acc: 0.754457, test avg acc: 0.699907
Train 53, loss: 1.890030, train acc: 0.763436, train avg acc: 0.650942
Test 53, loss: 1.729898, test acc: 0.837115, test avg acc: 0.768826
Train 54, loss: 1.880585, train acc: 0.767203, train avg acc: 0.651714
Test 54, loss: 1.814800, test acc: 0.774311, test avg acc: 0.697802
Train 55, loss: 1.890844, train acc: 0.759161, train avg acc: 0.642277
