Namespace(batch_size=32, dataset='modelnet40', dropout=0.0, emb_dims=1024, epochs=250, eval=False, exp_name='ognet_1024_small_d0', k=20, lr=0.001, model='ognet-small', model_path='', momentum=0.9, no_cuda=False, num_points=1024, seed=1, test_batch_size=16, use_sgd=True)
Using GPU : 0 from 1 devices
Train 42, loss: 1.485466, train acc: 0.921112, train avg acc: 0.880825
Test 42, loss: 1.557405, test acc: 0.894652, test avg acc: 0.842221
Train 43, loss: 1.489191, train acc: 0.919381, train avg acc: 0.877648
Test 43, loss: 1.582399, test acc: 0.882901, test avg acc: 0.839622
Train 44, loss: 1.487779, train acc: 0.920094, train avg acc: 0.879920
Test 44, loss: 1.561050, test acc: 0.880065, test avg acc: 0.842430
Train 45, loss: 1.487711, train acc: 0.921621, train avg acc: 0.881740
Test 45, loss: 1.540024, test acc: 0.893031, test avg acc: 0.847669
Train 46, loss: 1.487754, train acc: 0.921722, train avg acc: 0.880456
Test 46, loss: 1.561372, test acc: 0.893841, test avg acc: 0.851849
Train 47, loss: 1.478853, train acc: 0.924674, train avg acc: 0.885609
Test 47, loss: 1.587972, test acc: 0.879660, test avg acc: 0.833506
Train 48, loss: 1.478716, train acc: 0.923962, train avg acc: 0.884527
Test 48, loss: 1.553225, test acc: 0.895057, test avg acc: 0.853442
Train 49, loss: 1.478410, train acc: 0.922842, train avg acc: 0.882301
Test 49, loss: 1.669012, test acc: 0.850081, test avg acc: 0.804878
Train 50, loss: 1.476718, train acc: 0.925489, train avg acc: 0.885108
Test 50, loss: 1.607575, test acc: 0.873582, test avg acc: 0.838448
Train 51, loss: 1.478893, train acc: 0.925794, train avg acc: 0.890071
Test 51, loss: 1.577712, test acc: 0.880875, test avg acc: 0.832547
Train 52, loss: 1.476412, train acc: 0.922638, train avg acc: 0.884051
Test 52, loss: 1.546318, test acc: 0.896272, test avg acc: 0.865343
Train 53, loss: 1.469782, train acc: 0.929255, train avg acc: 0.892165
Test 53, loss: 1.583195, test acc: 0.875203, test avg acc: 0.851471
Train 54, loss: 1.472075, train acc: 0.930171, train avg acc: 0.895570
Test 54, loss: 1.651142, test acc: 0.860211, test avg acc: 0.818953
Train 55, loss: 1.468940, train acc: 0.931596, train avg acc: 0.897075
Test 55, loss: 1.577413, test acc: 0.885332, test avg acc: 0.849029
Train 56, loss: 1.472480, train acc: 0.925081, train avg acc: 0.885754
Test 56, loss: 1.569099, test acc: 0.877229, test avg acc: 0.842634
Train 57, loss: 1.463634, train acc: 0.930680, train avg acc: 0.895351
Test 57, loss: 1.563059, test acc: 0.888574, test avg acc: 0.837529
Train 58, loss: 1.466130, train acc: 0.930476, train avg acc: 0.894360
Test 58, loss: 1.526602, test acc: 0.905186, test avg acc: 0.862238
Train 59, loss: 1.462008, train acc: 0.931800, train avg acc: 0.897577
Test 59, loss: 1.539530, test acc: 0.895462, test avg acc: 0.846506
Train 60, loss: 1.468296, train acc: 0.928848, train avg acc: 0.892785
Test 60, loss: 1.579127, test acc: 0.876418, test avg acc: 0.852110
Train 61, loss: 1.456736, train acc: 0.932512, train avg acc: 0.897721
Test 61, loss: 1.514349, test acc: 0.906807, test avg acc: 0.856169
Train 62, loss: 1.456889, train acc: 0.934344, train avg acc: 0.900090
Test 62, loss: 1.552513, test acc: 0.888574, test avg acc: 0.845802
Train 63, loss: 1.453896, train acc: 0.934243, train avg acc: 0.898085
Test 63, loss: 1.561581, test acc: 0.875608, test avg acc: 0.840331
Train 64, loss: 1.460205, train acc: 0.932309, train avg acc: 0.900657
Test 64, loss: 1.527683, test acc: 0.901540, test avg acc: 0.858134
Train 65, loss: 1.453410, train acc: 0.933225, train avg acc: 0.899137
Test 65, loss: 1.531251, test acc: 0.906807, test avg acc: 0.862244
Train 66, loss: 1.454205, train acc: 0.930884, train avg acc: 0.899509
Test 66, loss: 1.591868, test acc: 0.878444, test avg acc: 0.831552
Train 67, loss: 1.454749, train acc: 0.931087, train avg acc: 0.893147
Test 67, loss: 1.539606, test acc: 0.891410, test avg acc: 0.850715
Train 68, loss: 1.446468, train acc: 0.937093, train avg acc: 0.907013
Test 68, loss: 1.557484, test acc: 0.884927, test avg acc: 0.843128
Train 69, loss: 1.441788, train acc: 0.938925, train avg acc: 0.906305
Test 69, loss: 1.562117, test acc: 0.884927, test avg acc: 0.847378
Train 70, loss: 1.453109, train acc: 0.934243, train avg acc: 0.900749
Test 70, loss: 1.599514, test acc: 0.865073, test avg acc: 0.833924
Train 71, loss: 1.447900, train acc: 0.939739, train avg acc: 0.907920
Test 71, loss: 1.555859, test acc: 0.892220, test avg acc: 0.856669
Train 72, loss: 1.444263, train acc: 0.937093, train avg acc: 0.903376
Test 72, loss: 1.518681, test acc: 0.901945, test avg acc: 0.857895
Train 73, loss: 1.442478, train acc: 0.938823, train avg acc: 0.907081
Test 73, loss: 1.584256, test acc: 0.877634, test avg acc: 0.849105
Train 74, loss: 1.439545, train acc: 0.938213, train avg acc: 0.907686
Test 74, loss: 1.548031, test acc: 0.887358, test avg acc: 0.846279
Train 75, loss: 1.441470, train acc: 0.937296, train avg acc: 0.905369
Test 75, loss: 1.531094, test acc: 0.903566, test avg acc: 0.866250
Train 76, loss: 1.436856, train acc: 0.939739, train avg acc: 0.909435
Test 76, loss: 1.512796, test acc: 0.904781, test avg acc: 0.863459
Train 77, loss: 1.436261, train acc: 0.939332, train avg acc: 0.907364
Test 77, loss: 1.532060, test acc: 0.901540, test avg acc: 0.866826
Train 78, loss: 1.437919, train acc: 0.939943, train avg acc: 0.911689
Test 78, loss: 1.545396, test acc: 0.893031, test avg acc: 0.839977
Train 79, loss: 1.435808, train acc: 0.940147, train avg acc: 0.911897
Test 79, loss: 1.576636, test acc: 0.875203, test avg acc: 0.843727
Train 80, loss: 1.439449, train acc: 0.939434, train avg acc: 0.909117
Test 80, loss: 1.546900, test acc: 0.891815, test avg acc: 0.855047
Train 81, loss: 1.431127, train acc: 0.944320, train avg acc: 0.915651
Test 81, loss: 1.576782, test acc: 0.891815, test avg acc: 0.857070
Train 82, loss: 1.425277, train acc: 0.945745, train avg acc: 0.917820
Test 82, loss: 1.505736, test acc: 0.910859, test avg acc: 0.877831
Train 83, loss: 1.425110, train acc: 0.945134, train avg acc: 0.918044
Test 83, loss: 1.538839, test acc: 0.891410, test avg acc: 0.859587
Train 84, loss: 1.426504, train acc: 0.943709, train avg acc: 0.913975
Test 84, loss: 1.537627, test acc: 0.898703, test avg acc: 0.870058
Train 85, loss: 1.427244, train acc: 0.944116, train avg acc: 0.915331
Test 85, loss: 1.518017, test acc: 0.896272, test avg acc: 0.860221
Train 86, loss: 1.422461, train acc: 0.946763, train avg acc: 0.920666
Test 86, loss: 1.530639, test acc: 0.898703, test avg acc: 0.874419
Train 87, loss: 1.422836, train acc: 0.944625, train avg acc: 0.917039
Test 87, loss: 1.505905, test acc: 0.901540, test avg acc: 0.862797
Train 88, loss: 1.420889, train acc: 0.948697, train avg acc: 0.923676
Test 88, loss: 1.535756, test acc: 0.889384, test avg acc: 0.861750
Train 89, loss: 1.425053, train acc: 0.946458, train avg acc: 0.920673
Test 89, loss: 1.515466, test acc: 0.895867, test avg acc: 0.860093
Train 90, loss: 1.417594, train acc: 0.946865, train avg acc: 0.920000
Test 90, loss: 1.523530, test acc: 0.901135, test avg acc: 0.863093
Train 91, loss: 1.420338, train acc: 0.947068, train avg acc: 0.918515
Test 91, loss: 1.510495, test acc: 0.904376, test avg acc: 0.864669
Train 92, loss: 1.417207, train acc: 0.948697, train avg acc: 0.923046
Test 92, loss: 1.541347, test acc: 0.891815, test avg acc: 0.851669
Train 93, loss: 1.416822, train acc: 0.945949, train avg acc: 0.919680
Test 93, loss: 1.510011, test acc: 0.905997, test avg acc: 0.872052
Train 94, loss: 1.414221, train acc: 0.949104, train avg acc: 0.922964
Test 94, loss: 1.528910, test acc: 0.895867, test avg acc: 0.849017
Train 95, loss: 1.413938, train acc: 0.949410, train avg acc: 0.923737
Test 95, loss: 1.539991, test acc: 0.895057, test avg acc: 0.858826
Train 96, loss: 1.410311, train acc: 0.950936, train avg acc: 0.924455
Test 96, loss: 1.513249, test acc: 0.902350, test avg acc: 0.868547
Train 97, loss: 1.410283, train acc: 0.952260, train avg acc: 0.925613
Test 97, loss: 1.513222, test acc: 0.901135, test avg acc: 0.846843
Train 98, loss: 1.411051, train acc: 0.950428, train avg acc: 0.927377
Test 98, loss: 1.507157, test acc: 0.902755, test avg acc: 0.871465
Train 99, loss: 1.405808, train acc: 0.953481, train avg acc: 0.932064
Test 99, loss: 1.506144, test acc: 0.908023, test avg acc: 0.876459
Train 100, loss: 1.407538, train acc: 0.952667, train avg acc: 0.929562
Test 100, loss: 1.515381, test acc: 0.903566, test avg acc: 0.860378
Train 101, loss: 1.406447, train acc: 0.951954, train avg acc: 0.927281
Test 101, loss: 1.541821, test acc: 0.898298, test avg acc: 0.867047
Train 102, loss: 1.407925, train acc: 0.953074, train avg acc: 0.929696
Test 102, loss: 1.499561, test acc: 0.912480, test avg acc: 0.875878
Train 103, loss: 1.401917, train acc: 0.955008, train avg acc: 0.933075
Test 103, loss: 1.521873, test acc: 0.897488, test avg acc: 0.881855
Train 104, loss: 1.402542, train acc: 0.953787, train avg acc: 0.931407
Test 104, loss: 1.531986, test acc: 0.894246, test avg acc: 0.857791
Train 105, loss: 1.406989, train acc: 0.953481, train avg acc: 0.930602
Test 105, loss: 1.508601, test acc: 0.906402, test avg acc: 0.871355
Train 106, loss: 1.399089, train acc: 0.955314, train avg acc: 0.934284
Test 106, loss: 1.501251, test acc: 0.914100, test avg acc: 0.873674
Train 107, loss: 1.397882, train acc: 0.955822, train avg acc: 0.933039
Test 107, loss: 1.491248, test acc: 0.913695, test avg acc: 0.879866
Train 108, loss: 1.398771, train acc: 0.957248, train avg acc: 0.935509
Test 108, loss: 1.518788, test acc: 0.906807, test avg acc: 0.879238
Train 109, loss: 1.393598, train acc: 0.955314, train avg acc: 0.932888
Test 109, loss: 1.535531, test acc: 0.891815, test avg acc: 0.871262
Train 110, loss: 1.393009, train acc: 0.956942, train avg acc: 0.935342
Test 110, loss: 1.505748, test acc: 0.901945, test avg acc: 0.869384
Train 111, loss: 1.389593, train acc: 0.960200, train avg acc: 0.942233
Test 111, loss: 1.511146, test acc: 0.904781, test avg acc: 0.874395
Train 112, loss: 1.394417, train acc: 0.957858, train avg acc: 0.936590
Test 112, loss: 1.484826, test acc: 0.911669, test avg acc: 0.874843
Train 113, loss: 1.390705, train acc: 0.958062, train avg acc: 0.936674
Test 113, loss: 1.507059, test acc: 0.907618, test avg acc: 0.876465
Train 114, loss: 1.388289, train acc: 0.956535, train avg acc: 0.936094
Test 114, loss: 1.490320, test acc: 0.915316, test avg acc: 0.879791
Train 115, loss: 1.390673, train acc: 0.957858, train avg acc: 0.938585
Test 115, loss: 1.505129, test acc: 0.908833, test avg acc: 0.875959
Train 116, loss: 1.387165, train acc: 0.961014, train avg acc: 0.940415
Test 116, loss: 1.496531, test acc: 0.913290, test avg acc: 0.885541
Train 117, loss: 1.384819, train acc: 0.961116, train avg acc: 0.941190
Test 117, loss: 1.529688, test acc: 0.902350, test avg acc: 0.868645
