Namespace(batch_size=32, dataset='modelnet40', dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='ognet_1024', k=20, lr=0.001, model='ognet', model_path='', momentum=0.9, no_cuda=False, num_points=1024, seed=1, test_batch_size=16, use_sgd=True)
Using GPU : 0 from 2 devices
Namespace(batch_size=32, dataset='modelnet40', dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='ognet_1024', k=20, lr=0.001, model='ognet', model_path='', momentum=0.9, no_cuda=False, num_points=1024, seed=1, test_batch_size=16, use_sgd=True)
Using GPU : 0 from 2 devices
Namespace(batch_size=32, dataset='modelnet40', dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='ognet_1024', k=20, lr=0.001, model='ognet', model_path='', momentum=0.9, no_cuda=False, num_points=1024, seed=1, test_batch_size=16, use_sgd=True)
Using GPU : 0 from 2 devices
Train 38, loss: 1.677775, train acc: 0.863599, train avg acc: 0.797356
Test 38, loss: 1.635920, test acc: 0.873987, test avg acc: 0.811006
Train 39, loss: 1.670464, train acc: 0.868078, train avg acc: 0.803236
Test 39, loss: 1.609080, test acc: 0.878849, test avg acc: 0.820866
Train 40, loss: 1.662625, train acc: 0.867264, train avg acc: 0.802508
Test 40, loss: 1.609393, test acc: 0.876013, test avg acc: 0.838762
Train 41, loss: 1.659670, train acc: 0.866450, train avg acc: 0.802043
Test 41, loss: 1.575791, test acc: 0.889789, test avg acc: 0.844291
Train 42, loss: 1.661103, train acc: 0.869605, train avg acc: 0.803418
Test 42, loss: 1.572395, test acc: 0.892220, test avg acc: 0.830308
Train 43, loss: 1.641696, train acc: 0.877036, train avg acc: 0.816746
Test 43, loss: 1.615502, test acc: 0.867504, test avg acc: 0.829477
Train 44, loss: 1.641667, train acc: 0.877443, train avg acc: 0.818375
Test 44, loss: 1.621822, test acc: 0.879254, test avg acc: 0.845924
Train 45, loss: 1.643357, train acc: 0.877952, train avg acc: 0.821232
Test 45, loss: 1.623712, test acc: 0.869125, test avg acc: 0.834494
Train 46, loss: 1.636058, train acc: 0.877952, train avg acc: 0.815595
Test 46, loss: 1.614195, test acc: 0.869935, test avg acc: 0.824122
Train 47, loss: 1.635847, train acc: 0.878054, train avg acc: 0.815841
Test 47, loss: 1.615692, test acc: 0.870340, test avg acc: 0.835227
Train 48, loss: 1.625891, train acc: 0.886095, train avg acc: 0.829464
Test 48, loss: 1.587148, test acc: 0.889789, test avg acc: 0.832140
Train 49, loss: 1.631028, train acc: 0.881413, train avg acc: 0.821385
Test 49, loss: 1.600331, test acc: 0.869125, test avg acc: 0.818936
Train 50, loss: 1.620486, train acc: 0.885586, train avg acc: 0.825019
Test 50, loss: 1.591391, test acc: 0.880875, test avg acc: 0.841273
Train 51, loss: 1.621387, train acc: 0.883754, train avg acc: 0.827937
Test 51, loss: 1.627576, test acc: 0.882901, test avg acc: 0.832640
Train 52, loss: 1.617035, train acc: 0.885179, train avg acc: 0.824591
Test 52, loss: 1.589138, test acc: 0.884522, test avg acc: 0.841023
Train 53, loss: 1.610377, train acc: 0.887724, train avg acc: 0.830886
Test 53, loss: 1.579908, test acc: 0.886548, test avg acc: 0.842285
Train 54, loss: 1.611457, train acc: 0.887011, train avg acc: 0.834285
Test 54, loss: 1.588395, test acc: 0.887763, test avg acc: 0.835244
Train 55, loss: 1.606765, train acc: 0.891083, train avg acc: 0.836265
Test 55, loss: 1.604327, test acc: 0.886143, test avg acc: 0.848593
Train 56, loss: 1.603339, train acc: 0.892508, train avg acc: 0.839387
Test 56, loss: 1.571328, test acc: 0.887763, test avg acc: 0.852936
Train 57, loss: 1.604280, train acc: 0.891185, train avg acc: 0.837142
Test 57, loss: 1.584562, test acc: 0.893436, test avg acc: 0.842006
Train 58, loss: 1.599587, train acc: 0.892203, train avg acc: 0.835286
Test 58, loss: 1.576793, test acc: 0.896677, test avg acc: 0.835552
Train 59, loss: 1.593329, train acc: 0.894748, train avg acc: 0.841400
Test 59, loss: 1.595779, test acc: 0.889789, test avg acc: 0.848901
Train 60, loss: 1.583370, train acc: 0.899125, train avg acc: 0.846143
Test 60, loss: 1.558065, test acc: 0.900324, test avg acc: 0.858924
Train 61, loss: 1.582522, train acc: 0.900957, train avg acc: 0.849830
Test 61, loss: 1.571897, test acc: 0.892220, test avg acc: 0.850099
Train 62, loss: 1.582577, train acc: 0.897598, train avg acc: 0.847876
Test 62, loss: 1.585282, test acc: 0.878849, test avg acc: 0.830390
Train 63, loss: 1.580814, train acc: 0.903196, train avg acc: 0.853591
Test 63, loss: 1.579820, test acc: 0.882901, test avg acc: 0.840913
Train 64, loss: 1.583042, train acc: 0.900143, train avg acc: 0.848507
Test 64, loss: 1.579815, test acc: 0.884927, test avg acc: 0.839808
Train 65, loss: 1.587687, train acc: 0.892203, train avg acc: 0.838819
Test 65, loss: 1.575361, test acc: 0.896272, test avg acc: 0.852750
Train 66, loss: 1.585420, train acc: 0.897292, train avg acc: 0.846686
Test 66, loss: 1.582375, test acc: 0.895462, test avg acc: 0.842180
Train 67, loss: 1.573183, train acc: 0.904723, train avg acc: 0.855004
Test 67, loss: 1.554069, test acc: 0.889789, test avg acc: 0.846837
